loja_nome,segmento,shopping,valor,cupons
.,Calçados,Garten Shopping,3898.84,6
.,Gastronomia,Neumarkt Shopping,4002.05,17
.,Ótica,Garten Shopping,4766.1,5
10 Pastéis,Gastronomia,Balneário Shopping,2870.6,72
10 Pastéis,Gastronomia,Garten Shopping,591.9,16
A Fabulosa,Presentes e Acessórios,Norte Shopping,8590.88,179
ADCOS,Beleza e Bem-estar,Continente Shopping,15167.45,27
ADCOS,Beleza e Bem-estar,Garten Shopping,10188.88,28
ANACAPRI,Calçados,Balneário Shopping,2252.9,11
Acium,Joalheria,Neumarkt Shopping,2540.46,11
Acium,Presentes e Acessórios,Balneário Shopping,2265.9,6
Acium,Presentes e Acessórios,Garten Shopping,507.0,2
Acium,Presentes e Acessórios,Norte Shopping,4116.8099999999995,14
Acuo,Moda,Nações Shopping,10187.85,26
Acuvue Lentes,Ótica,Balneário Shopping,7039.15,18
Adcos,Beleza e Bem-estar,Balneário Shopping,8152.47,24
Adcos,Beleza e Bem-estar,Nações Shopping,10219.65,18
Adcos,Beleza e Bem-estar,Neumarkt Shopping,16183.630000000001,40
Adidas,Esportes,Balneário Shopping,23665.77,36
Adidas,Esportes,Neumarkt Shopping,58108.450000000004,117
Adidas Originals,Moda,Balneário Shopping,12460.93,24
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,1828.0,8
Altenburg,Casa e Decoração,Balneário Shopping,4777.8,10
Altenburg,Casa e Decoração,Continente Shopping,3005.42,6
Anacapri,Lazer,Continente Shopping,5648.91,25
Animale,Moda Feminina,Balneário Shopping,56565.26,19
Antonio's Boliche,Gastronomia - Sorvetes,Nações Shopping,570.0,2
Antonio's Boliche,Lazer,Continente Shopping,45.0,1
Aramis,Moda,Balneário Shopping,10137.5,6
Aramis,Moda,Neumarkt Shopping,13013.92,17
Aramis Menswear,Moda,Garten Shopping,6408.2,7
Ardrak Ginger,Outros,Garten Shopping,131.5,1
Arezzo,Calçados,Continente Shopping,31927.38,68
Arezzo,Calçados,Garten Shopping,10155.0,17
Arezzo,Calçados,Nações Shopping,30914.69,61
Arezzo,Calçados Femininos,Balneário Shopping,35710.56,57
Arquipélago  Sushi,Gastronomia,Continente Shopping,41231.35,94
Arranjos Express,Serviços,Garten Shopping,106.0,1
Artwalk,Calçados,Balneário Shopping,25278.63,24
Atacadão,Supermercado,Norte Shopping,228166.15,1724
Audithorium,Moda,Balneário Shopping,7448.28,14
Audithorium,Moda,Garten Shopping,9081.8,15
Audithorium Menswear,Moda,Continente Shopping,3900.04,13
Authentic Feet,Moda,Neumarkt Shopping,17890.66,28
Avatim,Beleza e Bem-estar,Nações Shopping,6409.5,32
Avatim,Beleza e Bem-estar,Neumarkt Shopping,25264.0,167
Avatim,Beleza e Bem-estar,Norte Shopping,18129.6,119
Aventura Jurássica,Serviços,Balneário Shopping,338.0,2
BEAGLE,Moda,Norte Shopping,1013.3199999999999,7
BRANDO BIKE,Presentes e Acessórios,Continente Shopping,7398.0,2
BabyMee,Infantil,Neumarkt Shopping,4670.2,40
Bacio di Latte,Gastronomia,Balneário Shopping,15531.6,352
Bacio di Latte,Gastronomia,Continente Shopping,18632.32,382
Bagaggio,Presentes e Acessórios,Balneário Shopping,5595.6900000000005,7
Bagaggio,Presentes e Acessórios,Continente Shopping,5300.79,13
Bagaggio,Presentes e Acessórios,Garten Shopping,4426.2,6
Bagaggio,Presentes e Acessórios,Nações Shopping,3476.23,5
Bagaggio,Presentes e Acessórios,Neumarkt Shopping,7985.49,24
