cliente_id,loja_nome,n,valor
2374,Zara,1,816.5
4898,Zara,1,867.5
5097,Zara,1,578.5
10059,Zara,1,129.0
12681,Zara,1,597.5
16148,Zara,2,977.5
18420,Zara,1,2861.0
19743,Zara,3,1542.5
19871,Zara,1,279.5
19952,Zara,2,609.0
21280,Zara,1,259.5
22488,Zara,1,1575.5
22997,Studio Z,1,107.97
24279,Zara,2,2699.0
25250,Zara,1,2681.5
26408,Zara,1,308.5
27431,Zara,1,874.5
27537,Zara,1,279.5
29767,Zara,1,398.0
30618,Zara,2,2152.5
32927,Zara,1,528.5
34204,Zara,2,1104.5
37661,Zara,1,75.0
40067,Vivara,1,3138.0
40111,Zara,1,279.5
41731,Zara,2,707.5
44898,Zara,1,437.0
46428,Zara,1,279.5
49344,Zara,1,923.5
49985,Zara,1,297.5
52659,Lojas Americanas,2,62.93
53492,Zara,1,348.0
54196,Zara,1,688.5
54747,Zara,1,110.0
55369,Zara,2,1177.0
57209,Zara,1,1057.0
57311,Zara,1,929.0
57325,Studio Z,1,69.99
57547,Zara,1,259.5
57592,Zara,1,260.25
57607,Zara,1,548.5
57617,Zara,1,479.75
58064,Zara,3,977.5
58244,Zara,1,658.25
58474,Zara,2,1308.0
59152,Zara,1,587.5
59625,Studio Z,1,315.0
59996,Zara,4,2515.5
60004,Zara,2,2232.0
60093,Zara,1,746.5
60489,Zara,1,179.0
60925,Zara,1,270.0
60957,Zara,1,199.5
60965,Zara,2,1163.5
60984,Zara,2,567.5
61015,Zara,1,817.5
61040,Zara,1,1035.0
61050,Zara,4,1007.0
61090,Zara,1,279.5
61157,Game Mania,1,49.9
61199,JCANEDO,1,89.99
61229,JCANEDO,1,1489.94
61496,Zara,1,293.5
61591,Zara,1,339.0
61673,Zara,2,401.0
61786,Zara,2,1524.5
62055,Zara,1,597.0
62115,Zara,2,658.5
62405,Zara,1,260.0
63130,Zara,2,1343.0
63382,Zara,1,200.25
63438,Zara,3,1753.5
64107,Zara,1,79.0
64338,Zara,1,1216.0
65321,Zara,3,12203.5
65899,Havan,1,99.99
66222,Zara,1,672.0
66559,Zara,5,2102.5
66898,Zara,2,818.0
67445,Zara,1,294.5
67852,Zara,1,866.5
67882,Zara,1,393.5
68197,JCANEDO,1,298.97
69092,Zara,5,1635.25
69255,Zara,1,199.0
69637,Cobasi,1,37.9
70442,Cobasi,1,105.5
70949,Zara,3,3670.5
71293,Zara,2,729.75
72545,Zara,3,2797.5
73674,Zara,1,129.0
73737,Zara,1,1236.0
75655,Zara,1,797.5
77262,Zara,1,160.5
79124,Zara,1,789.25
79603,Zara,1,379.5
80755,Zara,1,988.25
80769,Zara,2,1801.5
80961,Zara,1,527.0
81884,JCANEDO,1,128.97
82717,Zara,1,498.5
83222,Zara,1,199.0
