loja_nome,segmento,shopping,valor,cupons
.,Beleza e Bem-estar,Balneário Shopping,458026.21,858
.,Beleza e Bem-estar,Continente Shopping,2306.9,6
.,Calçados,Balneário Shopping,1134439.58,1144
.,Calçados,Garten Shopping,368360.0,655
.,Gastronomia,Continente Shopping,3824.19,79
.,Gastronomia,Neumarkt Shopping,15488.57,53
.,Infantil,Garten Shopping,70.0,1
10 Pastéis,Gastronomia,Balneário Shopping,14795.79,319
10 Pastéis Joinville,Gastronomia,Garten Shopping,5132.35,140
A Fabulosa,Presentes e Acessórios,Norte Shopping,32699.95,608
ADCOS,Beleza e Bem-estar,Continente Shopping,137440.76,253
ADCOS,Beleza e Bem-estar,Garten Shopping,66476.28,180
AJFans Garten Shopping (Ação especial),Promocional,Garten Shopping,500.0,1
AJFans Nações Shopping (Ação especial),Telefonia,Nações Shopping,2000.0,2
AJFans Neumarkt,Promocional,Neumarkt Shopping,1500.0,2
AJFans Norte Shopping (Ação especial),Promocional,Norte Shopping,500.0,1
ALLMINI,Presentes e Acessórios,Norte Shopping,47745.61,453
ANACAPRI,Calçados,Balneário Shopping,619.5,4
Acium,Joalheria,Neumarkt Shopping,33707.88,139
Acium,Presentes e Acessórios,Balneário Shopping,24474.7,78
Acium,Presentes e Acessórios,Garten Shopping,24844.0,75
Acium,Presentes e Acessórios,Norte Shopping,26153.27,84
Acuo,Moda,Nações Shopping,53076.36,169
Acuvue Lentes,Ótica,Balneário Shopping,8559.67,18
Adcos,Beleza e Bem-estar,Balneário Shopping,149140.55,378
Adcos,Beleza e Bem-estar,Nações Shopping,29428.02,58
Adcos,Beleza e Bem-estar,Neumarkt Shopping,116449.49,344
Adidas,Esportes,Balneário Shopping,344385.84,614
Adidas,Esportes,Neumarkt Shopping,439540.87,879
Adidas,Moda,Balneário Shopping,42479.43,63
Adidas Originals,Moda,Balneário Shopping,292815.76,470
Alice Salazar,Beleza e Bem-estar,Garten Shopping,47.0,1
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,30682.95,147
Altenburg,Casa e Decoração,Balneário Shopping,319660.49,332
Altenburg,Casa e Decoração,Continente Shopping,170550.69,161
Anacapri,Calçados Femininos,Garten Shopping,98871.03,426
Anacapri,Lazer,Continente Shopping,113199.74,409
Animale,Moda Feminina,Balneário Shopping,270299.22000000003,171
Anjos Colchões & Sofás,Casa e Decoração,Neumarkt Shopping,101144.0,26
Anselmi,Moda Feminina,Balneário Shopping,264953.5,164
Antonio's Boliche,Lazer,Continente Shopping,370.0,2
Aramis,Moda,Balneário Shopping,197160.01,187
Aramis,Moda,Nações Shopping,9548.94,10
Aramis,Moda,Neumarkt Shopping,250976.58,254
Aramis Menswear,Moda,Garten Shopping,216073.67,204
Ardrak Ginger,Outros,Garten Shopping,592.0,2
Arezzo,Calçados,Continente Shopping,391301.7,891
Arezzo,Calçados,Garten Shopping,190520.71,414
Arezzo,Calçados,Nações Shopping,67959.77,171
Arezzo,Calçados,Neumarkt Shopping,337145.44,771
Arezzo,Calçados,Norte Shopping,57724.85,149
Arezzo,Calçados Femininos,Balneário Shopping,635759.26,1313
Arquipélago  Sushi,Gastronomia,Continente Shopping,53808.87,139
Arranjos Express,Serviços,Garten Shopping,3096.0,19
Artwalk,Calçados,Balneário Shopping,174364.04,184
Atacadão,Supermercado,Norte Shopping,636218.37,3481
Audithorium,Moda,Balneário Shopping,269926.34,457
Audithorium,Moda,Garten Shopping,209910.01,454
Audithorium Menswear,Moda,Continente Shopping,106174.69,232
Authentic Feet,Moda,Neumarkt Shopping,79932.25,141
Avatim,Beleza e Bem-estar,Nações Shopping,51241.39,292
Avatim,Beleza e Bem-estar,Neumarkt Shopping,498714.27,2641
Avatim,Beleza e Bem-estar,Norte Shopping,190083.73,1080
Avatim Cheiros Da Terra,Presentes e Acessórios,Garten Shopping,21670.9,130
BEAGLE,Moda,Norte Shopping,1998.45,12
BRANDO BIKE,Presentes e Acessórios,Continente Shopping,45507.0,12
Bacio di Latte,Gastronomia,Balneário Shopping,88345.06999999999,1514
Bacio di Latte,Gastronomia,Continente Shopping,92714.53,1677
Bagaggio,Presentes e Acessórios,Balneário Shopping,128137.95,219
Bagaggio,Presentes e Acessórios,Continente Shopping,84773.56,234
Bagaggio,Presentes e Acessórios,Garten Shopping,135481.74,341
Bagaggio,Presentes e Acessórios,Nações Shopping,48027.66,81
Bagaggio,Presentes e Acessórios,Neumarkt Shopping,84990.37,193
Balneário Shopping - Estacionamento,Serviços,Balneário Shopping,47993.0,1421
Baummer,Joalheria,Nações Shopping,14959.33,92
Baummer Semijóias,Presentes e Acessórios,Garten Shopping,24834.41,159
Beagle,Moda,Balneário Shopping,66140.63,215
Beagle,Moda,Continente Shopping,140912.24,454
Beagle,Moda,Garten Shopping,159616.61000000002,490
