loja_nome,segmento,shopping,valor,cupons
.,Infantil,Garten Shopping,99.8,1
10 Pastéis,Gastronomia,Balneário Shopping,10832.04,264
10 Pastéis,Gastronomia,Garten Shopping,13096.14,316
A Fabulosa,Presentes e Acessórios,Norte Shopping,42932.15,608
AC BRASIL,Ótica,Garten Shopping,447.5,1
ACIUM,Joalheria,Continente Shopping,29711.99,78
ACIUM,Joalheria,Neumarkt Shopping,6471.33,21
ACIUM,Joalheria,Norte Shopping,7550.58,24
ADCOS,Beleza e Bem-estar,Continente Shopping,214467.29,423
ADCOS,Beleza e Bem-estar,Garten Shopping,200669.73,489
AJFans (Inativo),Moda,Continente Shopping,3890.0,5
AJFans Balneário Shopping,Promocional,Balneário Shopping,4100.0,4
ANACAPRI,Calçados,Balneário Shopping,120690.39,519
ARAMIS,Moda,Garten Shopping,6532.05,8
Acium,Joalheria,Neumarkt Shopping,34072.59,100
Acium,Presentes e Acessórios,Balneário Shopping,19584.36,71
Acium,Presentes e Acessórios,Garten Shopping,2084.55,9
Acium,Presentes e Acessórios,Norte Shopping,7245.65,24
Acuo,Moda,Nações Shopping,181760.6,604
Acuvue Lentes,Ótica,Balneário Shopping,16870.26,39
Adcos,Beleza e Bem-estar,Balneário Shopping,225546.51,574
Adcos,Beleza e Bem-estar,Nações Shopping,86585.7,194
Adcos,Beleza e Bem-estar,Neumarkt Shopping,139891.29,443
Adidas,Esportes,Garten Shopping,492300.83,888
Adidas,Moda,Balneário Shopping,514071.08,815
Alice Salazar,Beleza e Bem-estar,Garten Shopping,6957.36,50
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,14703.02,87
Altenburg,Casa e Decoração,Balneário Shopping,378650.94,372
Altenburg,Casa e Decoração,Continente Shopping,355948.7,347
Alô Bebê,Infantil,Balneário Shopping,466203.19,1259
Alô Bebê,Infantil,Continente Shopping,429322.88,1343
Americanas,Eletrodomésticos,Nações Shopping,67179.54,1084
Anacapri,Calçados,Neumarkt Shopping,102714.62,469
Anacapri,Não informado,Continente Shopping,86721.44,354
