loja_nome,segmento,shopping,valor,cupons
.,Beleza e Bem-estar,Balneário Shopping,111903.94,208
.,Beleza e Bem-estar,Continente Shopping,1200.0,1
.,Calçados,Balneário Shopping,317787.01,324
.,Calçados,Garten Shopping,62077.200000000004,115
.,Gastronomia,Continente Shopping,273.2,8
.,Gastronomia,Neumarkt Shopping,641.87,2
10 Pastéis,Gastronomia,Balneário Shopping,11000.45,227
10 Pastéis Joinville,Gastronomia,Garten Shopping,1046.4,32
A Fabulosa,Presentes e Acessórios,Norte Shopping,8399.19,170
ADCOS,Beleza e Bem-estar,Continente Shopping,35205.24,77
ADCOS,Beleza e Bem-estar,Garten Shopping,24660.23,66
AJFans Balneário Shopping,Promocional,Balneário Shopping,8000.0,11
AJFans Garten Shopping (Ação especial),Promocional,Garten Shopping,3000.0,6
AJFans Nações Shopping (Ação especial),Telefonia,Nações Shopping,7500.0,11
AJFans Neumarkt,Promocional,Neumarkt Shopping,3500.0,7
AJFans Norte Shopping (Ação especial),Promocional,Norte Shopping,1000.0,2
ALLMINI,Presentes e Acessórios,Norte Shopping,11139.95,107
Acium,Joalheria,Neumarkt Shopping,10251.14,31
Acium,Presentes e Acessórios,Balneário Shopping,5711.3099999999995,22
Acium,Presentes e Acessórios,Garten Shopping,8591.0,25
Acium,Presentes e Acessórios,Norte Shopping,2694.13,9
Acuo,Moda,Nações Shopping,13593.71,38
Acuvue Lentes,Ótica,Balneário Shopping,1253.46,3
Adcos,Beleza e Bem-estar,Balneário Shopping,49279.87,132
Adcos,Beleza e Bem-estar,Nações Shopping,4367.24,12
Adcos,Beleza e Bem-estar,Neumarkt Shopping,35825.58,108
Adidas,Esportes,Balneário Shopping,133329.64,248
Adidas,Esportes,Neumarkt Shopping,134706.97,273
Adidas Originals,Moda,Balneário Shopping,103817.39,185
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,12264.2,46
Altenburg,Casa e Decoração,Balneário Shopping,147090.44,107
Altenburg,Casa e Decoração,Continente Shopping,29051.29,27
Anacapri,Calçados Femininos,Garten Shopping,30250.27,138
Anacapri,Lazer,Continente Shopping,28036.88,109
Animale,Moda Feminina,Balneário Shopping,102147.7,65
Anjos Colchões & Sofás,Casa e Decoração,Neumarkt Shopping,74420.66,20
Anselmi,Moda Feminina,Balneário Shopping,70181.51,40
Aramis,Moda,Balneário Shopping,84374.26,78
Aramis,Moda,Nações Shopping,10601.61,14
Aramis,Moda,Neumarkt Shopping,57038.89,68
Aramis Menswear,Moda,Garten Shopping,41053.0,49
Arezzo,Calçados,Continente Shopping,114049.04,255
Arezzo,Calçados,Garten Shopping,52365.619999999995,117
Arezzo,Calçados,Nações Shopping,9962.56,24
Arezzo,Calçados,Neumarkt Shopping,88509.94,211
Arezzo,Calçados,Norte Shopping,42956.39,118
Arezzo,Calçados Femininos,Balneário Shopping,176917.78,351
Arquipélago  Sushi,Gastronomia,Continente Shopping,36474.47,90
Arranjos Express,Serviços,Garten Shopping,372.0,3
Artwalk,Calçados,Balneário Shopping,48119.44,50
