cliente_id,loja_nome,n,valor
168,Outback Steakhouse,1,155.34
195,Alô Bebê,1,69.9
195,Cobasi,1,276.21
195,Livrarias Catarinense,1,48.7
198,Zara,1,179.0
235,C&A,1,39.99
277,Havan,1,489.95
281,Zara,1,687.5
336,Zara,1,1554.5
382,Jeronimo,2,78.0
611,Zara,1,86.25
617,Panvel Farmácias,1,9.99
770,Havan,1,159.98
836,C&A,3,359.95
1115,Polo Wear,1,169.98
1278,Zara,2,2048.5
1496,Zara,2,936.5
1705,Zara,3,788.0
1755,Cacau Show,1,133.0
1755,O Boticário,2,102.48
1780,Zara,1,239.5
2035,C&A,1,49.99
2035,KFC,1,83.7
2035,McDonald's,1,10.5
2035,Panvel,1,18.99
2035,Panvel Farmácias,1,15.79
2035,Renner,1,175.7
2035,TNG,1,319.96
2169,JCANEDO,1,455.88
2175,C&A,1,89.99
2360,Havan,1,129.98
2360,Mini Kalzone,1,17.9
2360,Riachuelo,1,212.28
2374,Zara,2,428.5
2460,Zara,1,159.0
2671,Zara,1,276.0
2916,Zara,2,837.75
3176,Havan,1,114.97
4141,C&A,2,399.92
4299,Hope,1,149.0
4356,Zara,1,189.25
4430,C&A,1,99.99
4698,Zara,1,887.5
4882,Zara,1,1546.5
4898,Zara,1,279.5
5010,Polo Wear,1,79.99
5116,O Boticário,1,156.8
5233,C&A,1,129.97
5852,Cobasi,1,56.0
5852,Havaianas,1,69.99
5852,Studio Z,1,149.99
6191,La Mandinne,1,359.8
6270,Souq,1,1744.2
6290,Adcos,1,129.0
6290,Avatim,1,303.0
6290,TIM,2,6887.48
6499,Lojas Americanas,1,112.19
6855,Nike Unite,1,463.97
6910,Zara,3,965.0
7639,Lindt,1,733.4
8001,Cia do Homem,1,99.9
8001,Lojas Americanas,1,5.78
8001,Renner,1,114.7
8311,Bacio di Latte,1,17.95
8311,Nike Unite,3,376.97
8311,Starbucks,2,27.9
8311,Subway,5,147.5
8806,Zara,2,778.25
8859,Democrata,1,239.9
8859,Nike Unite,1,89.99
9352,Zara,1,199.5
9807,Zara,1,478.0
10378,Motorola,1,6736.0
10666,Zara,2,813.0
11725,Zara,1,538.5
12259,Zara,4,5093.5
12640,Renner,1,319.8
12640,Zara,2,628.0
14093,Havan,1,999.83
14147,C&A,1,129.97
14273,Zara,1,1593.0
14583,iPlace Mobile,1,2468.2
14698,Riachuelo,1,135.8
14736,Makenji,1,1668.45
15273,Americanas,1,46.95
15273,Lupo,1,64.0
15325,Due Sapori,2,86.04
15486,Zara,3,447.0
15663,C&A,2,159.98
15722,Zara,1,2443.5
15737,iPlace Mobile,1,600.0
15775,Zara,1,479.5
15798,C&A,1,179.97
15814,Zara,1,937.5
16555,Jorge Bischoff,1,469.0
16663,C&A,1,299.99
17176,Zara,8,3775.75
17478,Zara,2,977.0
17655,Zara,2,627.0
18277,Zara,4,2213.25
18973,O Boticário,1,55.9
19047,Zara,4,2382.5
19631,Cartes - Cozinha do Mundo,1,91.5
19743,Zara,3,1355.5
19748,Lindt,1,8.97
19849,Sephora,1,191.0
19849,Zara,6,2445.45
19894,Studio Z,2,216.96
20019,Superlegal,1,199.99
20269,Zara,1,596.5
20611,Zara,1,440.0
20620,General Lyy,1,349.99
20620,L'Occitane en Provence,1,264.0
20620,Zara,3,1960.0
20643,10 Pastéis,1,25.0
20651,Zara,7,4629.75
20698,Sephora,1,907.4
20698,Zara,1,99.0
20912,Zara,2,1457.5
20931,Zara,1,529.0
21069,Life Vivara,1,133.0
21110,Arezzo,2,1161.77
21110,C&A,3,819.92
21352,Zara,1,379.5
21460,Zara,8,2673.5
21747,Zara,2,438.5
21808,Zara,1,129.0
22033,Superlegal,1,39.99
22442,Zara,2,519.0
22488,Zara,1,318.5
22636,Zara,2,894.5
22787,Zara,1,1643.5
22800,Zara,1,1887.0
23018,O Boticário,1,93.7
23244,Zara,4,1454.0
23616,C&A,1,165.96
23724,Zara,1,2152.5
23932,Kalunga,1,381.8
23932,Kopenhagen,1,54.02
23932,Le Lis,1,1293.74
23932,Livrarias Catarinense,1,413.3
23932,Ri Happy,1,299.98
24137,Democrata,3,1279.5
24164,Zara,2,923.0
24279,Zara,1,148.5
24316,Baier Joalheria,1,169.3
24316,Lindt,1,297.7
24316,Track & Field,3,725.52
24321,Zara,1,1693.0
24912,Anacapri,1,169.9
24912,Camicado,1,399.97
24912,Paquetá,1,409.97
24912,Renner,3,888.7
24912,Riachuelo,1,163.64
24912,Studio Z,1,139.98
25215,Zara,2,3467.0
25218,Zara,1,334.5
25250,Zara,4,1297.0
25614,Zara,1,85.5
25659,Zara,1,458.0
25686,Bob's Sorvete - Quiosque,2,75.3
25686,Decathlon,1,79.98
25686,OPHICINA,1,413.0
26475,Zara,1,495.25
26562,Renner,1,235.6
26637,Zara,1,426.5
26871,Boiko,1,599.0
26871,Zara,2,518.5
27302,Outback Steakhouse,1,273.73
27431,Zara,1,703.5
27513,Milky Moo,1,22.0
27839,Zara,1,201.0
28284,Motorola,1,2098.0
28312,Rommanel,1,76.0
28384,C&A,1,139.99
28906,Vans,1,149.99
29585,Avatim Cheiros Da Terra,1,166.0
29585,C&A,1,139.99
29585,Centauro,1,89.99
29585,Clube Melissa,1,139.9
29585,Havaianas,1,44.99
29585,Havan,1,199.92
29585,Madero,1,165.0
29585,Pittol,1,189.9
29585,Pop Me,1,177.6
29585,Renner,2,229.8
29585,Ri Happy,1,109.98
29669,Avatim,1,124.0
29669,Clube Melissa,1,139.9
29669,Havan,2,169.97
29669,Hering Store,1,113.98
29669,Kalunga,1,7.5
29669,Lojas Americanas,4,127.91
29669,Marisa,2,149.94
29669,Panvel Farmácias,1,21.99
29669,Preçolândia,1,22.9
29669,Renner,3,299.4
29919,O Boticário,1,171.8
30235,Renner,1,99.8
30285,Zara,4,2013.5
30292,Zara,2,817.5
30351,L'Occitane en Provence,1,748.0
30492,Zara,1,518.0
30522,L'Occitane Au Brésil,1,254.6
30522,Spedini,1,76.25
30659,Zara,1,0.5
30899,Zara,1,349.5
30911,Idéli.oui,1,4109.59
30911,Renner,1,199.8
31022,Zara,1,95.0
31207,Zara,1,269.5
31359,Zara,1,244.5
31383,McDonald's,1,27.8
