loja_nome,segmento,shopping,valor,cupons
.,Beleza e Bem-estar,Balneário Shopping,112153.93000000001,209
.,Beleza e Bem-estar,Continente Shopping,1200.0,1
.,Calçados,Balneário Shopping,317787.01,324
.,Calçados,Garten Shopping,61467.16,113
.,Gastronomia,Continente Shopping,273.2,8
.,Gastronomia,Neumarkt Shopping,641.87,2
10 Pastéis,Gastronomia,Balneário Shopping,6165.5,131
10 Pastéis Joinville,Gastronomia,Garten Shopping,1046.4,32
A Fabulosa,Presentes e Acessórios,Norte Shopping,5301.469999999999,111
ADCOS,Beleza e Bem-estar,Continente Shopping,26393.11,55
ADCOS,Beleza e Bem-estar,Garten Shopping,16447.73,46
AJ FANS Neumarkt,Promocional,Neumarkt Shopping,500.0,1
AJFans Garten Shopping (Ação especial),Promocional,Garten Shopping,500.0,1
AJFans Norte Shopping (Ação especial),Promocional,Norte Shopping,1000.0,2
ALLMINI,Presentes e Acessórios,Norte Shopping,9434.19,83
Acium,Joalheria,Neumarkt Shopping,9328.14,24
Acium,Presentes e Acessórios,Balneário Shopping,5526.5,21
Acium,Presentes e Acessórios,Garten Shopping,5473.0,14
Acium,Presentes e Acessórios,Norte Shopping,2611.0,8
Acuo,Moda,Nações Shopping,6340.11,15
Acuvue Lentes,Ótica,Balneário Shopping,1253.46,3
Adcos,Beleza e Bem-estar,Balneário Shopping,40000.62,109
Adcos,Beleza e Bem-estar,Nações Shopping,919.89,2
Adcos,Beleza e Bem-estar,Neumarkt Shopping,28734.58,85
Adidas,Esportes,Balneário Shopping,100674.79000000001,203
Adidas,Esportes,Neumarkt Shopping,99613.64,207
Adidas Originals,Moda,Balneário Shopping,74880.59,147
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,7565.0,32
Altenburg,Casa e Decoração,Balneário Shopping,127830.33,98
Altenburg,Casa e Decoração,Continente Shopping,15537.66,18
Anacapri,Calçados Femininos,Garten Shopping,23833.420000000002,105
Anacapri,Lazer,Continente Shopping,21014.81,83
Animale,Moda Feminina,Balneário Shopping,90367.2,57
Anjos Colchões & Sofás,Casa e Decoração,Neumarkt Shopping,61538.0,16
Anselmi,Moda Feminina,Balneário Shopping,68725.51,39
Aramis,Moda,Balneário Shopping,80845.76,73
Aramis,Moda,Nações Shopping,6602.41,6
Aramis,Moda,Neumarkt Shopping,48049.61,57
Aramis Menswear,Moda,Garten Shopping,30475.7,41
Arezzo,Calçados,Continente Shopping,93128.69,212
Arezzo,Calçados,Garten Shopping,38340.96,89
Arezzo,Calçados,Nações Shopping,3111.94,9
Arezzo,Calçados,Neumarkt Shopping,64254.02,152
Arezzo,Calçados,Norte Shopping,27965.82,74
Arezzo,Calçados Femininos,Balneário Shopping,140072.01,292
Arquipélago  Sushi,Gastronomia,Continente Shopping,22910.51,58
Arranjos Express,Serviços,Garten Shopping,357.0,2
Artwalk,Calçados,Balneário Shopping,35379.55,37
Atacadão,Supermercado,Norte Shopping,148110.49,866
Audithorium,Moda,Balneário Shopping,60551.159999999996,101
Audithorium,Moda,Garten Shopping,37640.81,76
Audithorium Menswear,Moda,Continente Shopping,26519.79,67
Authentic Feet,Moda,Neumarkt Shopping,21075.86,29
Avatim,Beleza e Bem-estar,Nações Shopping,2883.1,20
Avatim,Beleza e Bem-estar,Neumarkt Shopping,72560.25,415
Avatim,Beleza e Bem-estar,Norte Shopping,37237.11,250
Avatim Cheiros Da Terra,Presentes e Acessórios,Garten Shopping,494.0,3
Aventura Jurássica,Serviços,Balneário Shopping,39.0,1
BRANDO BIKES,Presentes e Acessórios,Continente Shopping,11351.0,5
Bacio di Latte,Gastronomia,Balneário Shopping,27404.92,425
Bacio di Latte,Gastronomia,Continente Shopping,28230.5,552
Bagaggio,Presentes e Acessórios,Balneário Shopping,33874.52,70
Bagaggio,Presentes e Acessórios,Continente Shopping,35023.85,89
Bagaggio,Presentes e Acessórios,Garten Shopping,52604.19,118
Bagaggio,Presentes e Acessórios,Nações Shopping,4867.9,7
Bagaggio,Presentes e Acessórios,Neumarkt Shopping,29347.76,70
Balneário Shopping - Estacionamento,Serviços,Balneário Shopping,18049.0,460
Baummer,Joalheria,Nações Shopping,2107.67,12
Baummer Semijóias,Presentes e Acessórios,Garten Shopping,3965.57,34
Beagle,Moda,Balneário Shopping,17955.940000000002,50
Beagle,Moda,Continente Shopping,27791.11,80
Beagle,Moda,Garten Shopping,35059.31,94
Beagle,Moda,Nações Shopping,4099.46,15
Beagle,Moda,Norte Shopping,22850.14,64
BelShop,Beleza e Bem-estar,Nações Shopping,4124.17,45
Belshop,Beleza e Bem-estar,Neumarkt Shopping,19753.17,174
Bergerson,Joalheria,Garten Shopping,88568.0,7
Bibi,Infantil,Balneário Shopping,29792.35,60
Bibi Calçados,Calçados,Garten Shopping,18676.36,43
Big Jack Cervejaria,Gastronomia,Nações Shopping,72.0,3
BioMundo Produtos Naturais,Beleza e Bem-estar,Neumarkt Shopping,8048.15,55
Biscoitê,Gastronomia,Balneário Shopping,3838.0,14
Bkko,Moda,Norte Shopping,9621.62,23
Boali,Gastronomia,Garten Shopping,169.6,3
Bob's,Gastronomia,Balneário Shopping,3364.4,98
Bob's,Gastronomia,Norte Shopping,2178.66,61
Bob's (Quiosque 1),Gastronomia - Sorvetes,Norte Shopping,266.5,16
Bob's (Quiosque 2),Gastronomia - Sorvetes,Norte Shopping,322.7,16
Bob's - Quiosque,Gastronomia,Nações Shopping,34.0,2
Bob's Sorvete - Quiosque,Gastronomia,Continente Shopping,5090.0,175
Boiko,Joalheria,Balneário Shopping,92574.8,21
Boiko Joalheiros,Joalheria,Norte Shopping,5212.6,5
Bom Beef,Gastronomia,Continente Shopping,19280.48,211
Bondyou,Presentes e Acessórios,Balneário Shopping,1083.19,16
Bonna Panquecas e Massas,Gastronomia,Balneário Shopping,3735.7,58
Borelli,Gastronomia,Balneário Shopping,3927.1,73
Borelli Gelato,Gastronomia - Sorvetes,Continente Shopping,5737.7,145
Boss,Moda,Balneário Shopping,116394.0,65
Botoclinic,Beleza e Bem-estar,Continente Shopping,8848.77,8
Botoclinic,Beleza e Bem-estar,Garten Shopping,4893.3,6
Botoclinic,Beleza e Bem-estar,Norte Shopping,4094.0,6
Bottero,Calçados,Balneário Shopping,27142.149999999998,70
Bottero,Calçados,Neumarkt Shopping,45658.95,103
Brando Bike,Outros,Norte Shopping,20542.0,6
Brasil Cacau,Gastronomia,Continente Shopping,20911.87,255
Brasileirisse,Gastronomia,Norte Shopping,124.94,2
Bread Pide,Gastronomia,Balneário Shopping,5064.64,75
Brooksfield,Moda,Balneário Shopping,191329.61000000002,131
Brooksfield,Moda,Continente Shopping,89012.32,78
Brooksfield,Moda,Garten Shopping,73022.13,69
Brooksfield,Moda,Neumarkt Shopping,85554.45,74
Buddha Spa,Serviços,Balneário Shopping,1087.34,3
Bull Prime Steak House,Gastronomia,Garten Shopping,6833.68,24
Burger King,Gastronomia,Balneário Shopping,10047.89,188
Burger King,Gastronomia,Continente Shopping,9989.67,170
Burger King,Gastronomia,Garten Shopping,3402.15,75
Burger King,Gastronomia,Nações Shopping,2872.09,55
Burger King,Gastronomia,Neumarkt Shopping,11652.06,237
Burger King,Gastronomia,Norte Shopping,16033.4,244
Békko,Moda,Nações Shopping,4885.73,12
C&A,Moda,Balneário Shopping,269075.16,895
C&A,Moda,Continente Shopping,206981.49,864
C&A,Moda,Garten Shopping,137685.31,632
