loja_nome,segmento,shopping,valor,cupons
.,Ótica,Garten Shopping,3847.29,5
10 Pastéis,Gastronomia,Balneário Shopping,525.91,12
10 Pastéis,Gastronomia,Garten Shopping,238.0,7
A Fabulosa,Presentes e Acessórios,Norte Shopping,480.77,11
ADCOS,Beleza e Bem-estar,Continente Shopping,466.18999999999994,2
ADCOS,Beleza e Bem-estar,Garten Shopping,1451.3,3
ANACAPRI,Calçados,Balneário Shopping,564.6,3
Acium,Presentes e Acessórios,Balneário Shopping,575.1,1
Acuo,Moda,Nações Shopping,594.65,4
Adcos,Beleza e Bem-estar,Balneário Shopping,4289.45,7
Adcos,Beleza e Bem-estar,Nações Shopping,385.1,1
Adcos,Beleza e Bem-estar,Neumarkt Shopping,2164.0,7
Adidas,Esportes,Garten Shopping,4391.81,7
Adidas,Moda,Balneário Shopping,3598.23,10
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,558.0,3
Altenburg,Casa e Decoração,Balneário Shopping,1043.9,2
Altenburg,Casa e Decoração,Continente Shopping,2386.48,2
Alô Bebê,Infantil,Continente Shopping,2012.47,17
Anacapri,Calçados,Neumarkt Shopping,869.5,4
Anacapri,Lazer,Continente Shopping,1389.2,4
Aramis,Moda,Balneário Shopping,3278.8,3
Arezzo,Calçados,Continente Shopping,5764.24,15
Arezzo,Calçados,Garten Shopping,279.9,2
Arezzo,Calçados,Nações Shopping,2034.3,7
Artwalk,Calçados,Balneário Shopping,799.99,1
Atacadão,Supermercado,Norte Shopping,15339.5,100
Audithorium,Moda,Garten Shopping,979.45,3
Audithorium,Moda,Norte Shopping,199.0,1
Audithorium Menswear,Moda,Continente Shopping,431.72,2
Authentic Feet,Moda,Neumarkt Shopping,799.99,1
Avatim,Beleza e Bem-estar,Nações Shopping,844.0,5
Avatim,Beleza e Bem-estar,Neumarkt Shopping,5525.0,26
Avatim,Beleza e Bem-estar,Norte Shopping,804.5,5
Avatim Cheiros Da Terra,Presentes e Acessórios,Garten Shopping,2201.0,13
BRANDO BIKE,Presentes e Acessórios,Continente Shopping,1998.0,2
Bacio di Latte,Gastronomia,Balneário Shopping,2640.56,53
Bacio di Latte,Gastronomia,Continente Shopping,5650.61,123
Bagaggio,Presentes e Acessórios,Balneário Shopping,898.47,3
Bagaggio,Presentes e Acessórios,Continente Shopping,5661.7699999999995,8
Bagaggio,Presentes e Acessórios,Garten Shopping,360.81,1
Bagaggio,Presentes e Acessórios,Nações Shopping,379.8,1
Balneário Shopping - Estacionamento,Serviços,Balneário Shopping,385.0,12
Baummer,Joalheria,Nações Shopping,301.33000000000004,3
Beagle,Moda,Balneário Shopping,1733.93,6
Beagle,Moda,Continente Shopping,1453.93,4
Beagle,Moda,Garten Shopping,4572.79,13
Beagle,Moda,Nações Shopping,1031.68,4
Beagle,Moda,Norte Shopping,1303.96,4
BelShop,Beleza e Bem-estar,Nações Shopping,1346.4,15
Belshop,Beleza e Bem-estar,Neumarkt Shopping,2855.94,28
Bibi,Infantil,Balneário Shopping,1886.8000000000002,5
Bibi Calçados,Calçados,Garten Shopping,797.8,4
BioMundo Produtos Naturais,Beleza e Bem-estar,Neumarkt Shopping,766.51,8
Bkko,Moda,Norte Shopping,669.62,3
Boali,Gastronomia,Garten Shopping,1577.3,29
Bob's,Gastronomia,Balneário Shopping,283.9,13
Bob's,Gastronomia,Norte Shopping,217.3,7
Bob's (Quiosque 2),Gastronomia - Sorvetes,Norte Shopping,16.0,1
Bob's Sorvete - Quiosque,Gastronomia,Continente Shopping,1178.12,51
Boiko,Joalheria,Balneário Shopping,1920.0,1
Boiko Joalheiros,Joalheria,Norte Shopping,1799.0,2
Bondyou,Presentes e Acessórios,Balneário Shopping,117.0,2
